country,year,value,variable,GCM,SRES,iso
Chile,2013,4688.159581,HDD,CCSM3x,A2,chl
Pakistan,2013,937.6440673,HDD,CCSM3x,A2,pak
Turkey,2013,3343.50093,HDD,CCSM3x,A2,tur
Mozambique,2013,27.64772079,HDD,CCSM3x,A2,moz
Zambia,2013,168.6849571,HDD,CCSM3x,A2,zmb
Myanmar,2013,71.68677107,HDD,CCSM3x,A2,mmr
Morocco,2013,1667.271309,HDD,CCSM3x,A2,mar
Somalia,2013,2.675507025,HDD,CCSM3x,A2,som
Afghanistan,2013,5025.867621,HDD,CCSM3x,A2,afg
Central African Republic,2013,1.309321897,HDD,CCSM3x,A2,caf
Madagascar,2013,302.4500948,HDD,CCSM3x,A2,mdg
Ukraine,2013,6387.320511,HDD,CCSM3x,A2,ukr
Kenya,2013,303.1026036,HDD,CCSM3x,A2,ken
Botswana,2013,505.3753064,HDD,CCSM3x,A2,bwa
France,2013,4432.881172,HDD,CCSM3x,A2,fra
Thailand,2013,10.10414236,HDD,CCSM3x,A2,tha
Spain,2013,3160.829348,HDD,CCSM3x,A2,esp
Papua New Guinea,2013,0.799795487,HDD,CCSM3x,A2,png
Turkmenistan,2013,3840.977896,HDD,CCSM3x,A2,tkm
Cameroon,2013,1.891431226,HDD,CCSM3x,A2,cmr
Sweden,2013,4576.874862,HDD,CCSM3x,A2,swe
Iraq,2013,1331.585351,HDD,CCSM3x,A2,irq
Yemen,2013,556.9648099,HDD,CCSM3x,A2,yem
Uzbekistan,2013,4254.153411,HDD,CCSM3x,A2,uzb
Japan,2013,3979.832595,HDD,CCSM3x,A2,jpn
Paraguay,2013,343.2098893,HDD,CCSM3x,A2,pry
Zimbabwe,2013,450.9350546,HDD,CCSM3x,A2,zwe
Philippines,2013,1.744911936,HDD,CCSM3x,A2,phl
Germany,2013,5527.726407,HDD,CCSM3x,A2,deu
Norway,2013,7596.043671,HDD,CCSM3x,A2,nor
Malaysia,2013,0.466892102,HDD,CCSM3x,A2,mys
Finland,2013,8343.940843,HDD,CCSM3x,A2,fin
Congo,2013,0.152396193,HDD,CCSM3x,A2,cog
Vietnam,2013,155.2466875,HDD,CCSM3x,A2,vnm
Cote dIvoire,2013,0.762798642,HDD,CCSM3x,A2,civ
Oman,2013,74.5083842,HDD,CCSM3x,A2,omn
Italy,2013,3958.864784,HDD,CCSM3x,A2,ita
Poland,2013,6218.334078,HDD,CCSM3x,A2,pol
New Zealand,2013,2744.293896,HDD,CCSM3x,A2,nzl
Burkina Faso,2013,0.368620204,HDD,CCSM3x,A2,bfa
United Kingdom,2013,5282.424789,HDD,CCSM3x,A2,gbr
